sampling_method,dc_n_particles,estimate
DC,100,-3837.67449076337
DC,100,-3859.24257932789
STD,100000,-3815.24324113314
DC,100,-3850.42685040172
STD,1000,-3840.51574039753
DC,100,-3852.67778108913
DC,10,-3997.04407391125
DC,1000,-3818.78513529091
STD,10,-4020.2734995453
DC,1000,-3819.6712716409
STD,10,-4018.99809499848
DC,1000,-3820.36713747034
DC,1000,-3814.62551749873
STD,100000,-3814.75259368425
STD,100000,-3815.1108307803
DC,10000,-3812.31523745051
STD,10000,-3818.16525662184
DC,100,-3852.90006947553
DC,100,-3844.90416950966
DC,10000,-3811.8655880653
STD,10,-3991.61217819023
STD,10000,-3818.21973585201
DC,10000,-3812.9510785955
DC,10,-3982.85626955181
DC,10000,-3816.00780010955
DC,10,-3980.89795653367
STD,10000,-3820.64111530643
DC,10000,-3813.29910882831
DC,10000,-3812.70531919975
STD,100,-3862.52593456192
DC,100000,-3812.40207756044
STD,100000,-3814.46256665599
DC,10000,-3812.35464192105
STD,10000,-3817.22203095532
STD,10000,-3817.7995842622
STD,1000,-3823.03659377451
STD,100000,-3816.22210510642
STD,100000,-3816.55953715215
DC,1000,-3818.44993838178
STD,10000,-3815.48365861511
DC,1000,-3815.35064744942
DC,10000,-3812.29819176706
STD,100,-3879.99485708969
STD,1000,-3821.14750098628
DC,100,-3849.23220043823
DC,100,-3847.85247090742
STD,10000,-3818.46478654155
STD,10000,-3819.94152912147
DC,10,-3986.20812048928
STD,100,-3873.2029268585
STD,10,-4001.98906709049
STD,10000,-3818.01776466637
DC,100000,-3811.63843118914
STD,100000,-3810.33001470223
STD,10000,-3821.76021648219
DC,10,-3982.91340573896
STD,10,-4031.51714566086
STD,100000,-3814.43989761455
STD,1000,-3837.05295806988
STD,100,-3871.82087592674
STD,100000,-3815.44866488461
DC,10000,-3815.96454201738
STD,100000,-3817.32472804319
DC,10000,-3811.46969729341
STD,1000,-3835.93653241754
STD,10,-4009.4331243061
STD,100000,-3814.40482678933
STD,1000,-3826.55825643276
STD,100000,-3814.89381787918
STD,10,-4003.37528296196
DC,100000,-3812.43805725873
STD,1000,-3837.94951268869
STD,10000,-3819.21067908211
STD,1000,-3830.92484469785
STD,100,-3883.63639321455
DC,10,-3992.89918512134
DC,100,-3842.66051144849
DC,10,-3962.74026724233
DC,1000,-3817.57938079173
STD,10,-4011.59910306789
STD,10000,-3819.49626070385
DC,1000,-3825.13381432843
STD,10,-4031.19982542059
DC,1000,-3818.63591941841
DC,100,-3850.62567169548
DC,1000,-3816.20147485374
STD,100,-3862.94833444133
DC,10000,-3812.44627694063
DC,10000,-3809.28494927453
STD,100,-3864.10155853287
STD,100000,-3814.28166537761
STD,10,-4014.82318748588
DC,10,-3982.6421646035
STD,10,-4031.55476086468
STD,1000,-3831.02326182502
DC,10,-3984.64805695523
STD,100,-3876.06345224636
STD,100000,-3814.87605680542
STD,100000,-3812.62934054276
STD,100,-3859.42336491675
DC,10000,-3812.42618648977
STD,100000,-3815.56490248113
STD,10000,-3814.885984185
STD,100,-3887.35489324755
STD,10,-4004.81086352029
STD,10,-3998.76780116953
STD,1000,-3829.29668186207
DC,10000,-3813.35013261387
DC,1000,-3817.49339244872
STD,100000,-3814.81464287324
STD,1000,-3822.28643110939
DC,10,-3980.6680326907
STD,1000,-3826.6483929231
DC,100,-3854.70387954146
STD,100000,-3813.11687970374
STD,10000,-3819.40688310131
DC,10,-3949.25135446733
STD,100,-3874.70043837104
STD,1000,-3828.73609035513
STD,100,-3876.9875129143
STD,100,-3883.41134014522
DC,100,-3856.17732354015
STD,10000,-3813.40939555616
STD,100000,-3814.38717002916
DC,100000,-3811.10386635916
DC,10000,-3813.37186818778
DC,100,-3834.98477872727
STD,100000,-3812.90796638853
STD,100000,-3812.87274013102
DC,10000,-3812.15709737261
DC,10000,-3816.15834050954
STD,1000,-3827.99551438726
DC,100000,-3812.43543218332
DC,10000,-3815.55122575111
DC,100,-3865.81061606469
STD,10,-4042.11890075999
STD,10000,-3823.84578346895
STD,1000,-3831.50529303512
